country_name,year,gdp,social_support,life_expectancy,freedom,trust,generosity,energy_consumption,total_deaths,happiness_score
Algeria,2018,0.979,1.154,0.687,0.077,0.135,0.055,61,172563,5.295
Nigeria,2018,0.689,1.172,0.048,0.462,0.032,0.201,160,724366,5.155
Indonesia,2018,0.899,1.215,0.522,0.538,0.018,0.484,231,1600396,5.093
Venezuela,2018,0.996,1.469,0.657,0.133,0.052,0.056,42,161858,4.806
South Africa,2018,0.94,1.41,0.33,0.516,0.056,0.103,134,472734,4.724
Iran,2018,1.059,0.771,0.691,0.459,0.129,0.282,266,352243,4.707
Egypt,2018,0.885,1.025,0.553,0.312,0.107,0.092,96,559325,4.419
India,2018,0.721,0.747,0.485,0.539,0.093,0.172,919,7797519,4.19
Ukraine,2018,0.793,1.413,0.609,0.163,0.011,0.187,93,701597,4.103
Norway,2019,1.488,1.582,1.028,0.603,0.341,0.271,28,38519,7.554
Netherlands,2019,1.396,1.522,0.999,0.557,0.298,0.322,72,146822,7.488
Sweden,2019,1.387,1.487,1.009,0.574,0.373,0.267,49,89069,7.343
New Zealand,2019,1.303,1.557,1.026,0.585,0.38,0.33,21,32444,7.307
Canada,2019,1.365,1.505,1.039,0.584,0.308,0.285,301,272276,7.278
Australia,2019,1.372,1.548,1.036,0.557,0.29,0.332,129,159970,7.228
United Kingdom,2019,1.333,1.538,0.996,0.45,0.278,0.348,170,591052,7.054
Germany,2019,1.373,1.454,0.987,0.495,0.265,0.261,294,929624,6.985
Belgium,2019,1.356,1.504,0.986,0.473,0.21,0.16,55,107561,6.923
United States,2019,1.433,1.457,0.874,0.454,0.128,0.28,2214,2812293,6.892
United Arab Emirates,2019,1.503,1.31,0.825,0.598,0.182,0.262,83,26816,6.825
Mexico,2019,1.07,1.323,0.861,0.433,0.073,0.074,176,710679,6.595
France,2019,1.324,1.472,1.045,0.436,0.183,0.111,243,565517,6.592
Taiwan,2019,1.368,1.43,0.914,0.351,0.097,0.242,108,181771,6.446
Chile,2019,1.159,1.369,0.92,0.357,0.056,0.187,40,109920,6.444
Saudi Arabia,2019,1.403,1.357,0.795,0.439,0.132,0.08,215,115153,6.375
Spain,2019,1.286,1.484,1.062,0.362,0.079,0.153,121,410822,6.354
Brazil,2019,1.004,1.439,0.802,0.39,0.086,0.099,293,1284570,6.3
Italy,2019,1.294,1.488,1.039,0.231,0.03,0.158,149,623221,6.223
Poland,2019,1.206,1.438,0.884,0.483,0.05,0.117,103,399551,6.182
Uzbekistan,2019,0.745,1.529,0.756,0.631,0.24,0.322,47,191967,6.174
Colombia,2019,0.985,1.41,0.841,0.47,0.034,0.099,41,226323,6.125
Argentina,2019,1.092,1.432,0.881,0.471,0.05,0.066,79,330407,6.086
Romania,2019,1.162,1.232,0.825,0.462,0.005,0.083,33,266281,6.07
Kuwait,2019,1.5,1.319,0.808,0.493,0.097,0.142,36,9117,6.021
Thailand,2019,1.05,1.409,0.828,0.557,0.028,0.359,137,478570,6.008
South Korea,2019,1.301,1.219,1.036,0.159,0.056,0.175,293,312651,5.895
Japan,2019,1.327,1.419,1.088,0.445,0.14,0.069,416,1367443,5.886
Kazakhstan,2019,1.173,1.508,0.729,0.41,0.096,0.146,77,136285,5.809
Portugal,2019,1.221,1.431,0.999,0.508,0.025,0.047,22,112250,5.693
Russia,2019,1.183,1.452,0.726,0.334,0.031,0.082,768,1761045,5.648
Turkey,2019,1.183,1.36,0.808,0.195,0.106,0.083,145,427018,5.373
Malaysia,2019,1.221,1.171,0.828,0.508,0.024,0.26,96,164054,5.339
Nigeria,2019,0.696,1.111,0.245,0.426,0.041,0.215,157,736257,5.265
Algeria,2019,1.002,1.16,0.785,0.086,0.114,0.073,65,178132,5.211
Indonesia,2019,0.931,1.203,0.66,0.491,0.028,0.498,237,1622557,5.192
China,2019,1.029,1.125,0.893,0.521,0.1,0.058,3309,10300855,5.191
South Africa,2019,0.96,1.351,0.469,0.389,0.055,0.13,129,463689,4.722
Venezuela,2019,0.96,1.427,0.805,0.154,0.047,0.064,36,174126,4.707
Iran,2019,1.1,0.842,0.785,0.305,0.125,0.27,269,361594,4.548
Ukraine,2019,0.82,1.39,0.739,0.178,0.01,0.187,89,698357,4.332
Egypt,2019,0.913,1.039,0.644,0.241,0.067,0.076,97,570870,4.166
India,2019,0.755,0.765,0.588,0.498,0.085,0.2,940,7955181,4.015
